,Inspection / Maintenance Item,Yes No,N/A,Comments
9. Vaporizers,,,,
(A) General,,,,
,Is the vaporizer(s) leak-free and in good working condition?,:unselected: :unselected:,:unselected:,
,Have pilot lights been cleaned on a regular basis?,:unselected: :unselected:,:unselected:,
,"On a periodic basis, have all strainers been cleaned at the inlet side of the vaporizer(s)?",:unselected: :unselected:,:unselected:,
,Have heavy ends been cleaned from the vaporizer(s) and/or separator tank?,:unselected: :unselected:,:unselected:,
,"Have the burner openings, thermostat, and flue been cleaned?",:unselected: :unselected:,:unselected:,
,Is the vaporizer(s) located in accordance with NFPA 58?,:unselected: :unselected:,:unselected:,
