,Inspection / Maintenance Item,Yes No,N/A,Comments
10. Regulators,,,,
(A) General,,,,
,Is the first-stage or high-pressure regulator directly attached by flexible connectors to the vaporizer outlet or to the interconnected piping of manifolded vaporizers?,:unselected: :unselected:,:unselected:,
,Are all first-stage and high-pressure regulators installed outside of buildings?,:unselected: :unselected:,:unselected:,
,"Are all regulators that are outside of buildings installed and protected so that their operation will not be affected by environmental elements (e.g., freezing rain, sleet, snow, ice, mud or debris) or insects?",:unselected: :unselected:,:unselected:,
,Is the point of discharge on the regulator's relief device at least 3 feet horizontally away from any building opening that is below the level of the discharge?,:unselected: :unselected:,:unselected:,
,Is the point of discharge on the regulator's relief device located at least 5 feet in any direction from any source of ignition or mechanical ventilation air intakes?,:unselected: :unselected:,:unselected:,
